Ticker,Optimal_Weight
JNJ,0.14054834140695288
C,0.09868927606868735
KO,0.07472663658807406
IBM,0.07164015509801627
AMZN,0.06691930440555856
INTC,0.06176280624754589
HON,0.05572639592729513
CTSH,0.05326380977836037
ADBE,0.04938526402813337
APD,0.04708348280463716
BLK,0.04158817322877916
VRSK,0.04031895143475404
TEL,0.04031164258998066
HD,0.040285996245860115
TRMB,0.028810319439247774
V,0.026942099899744835
TROW,0.02023406694809878
GLW,0.013921598181257539
GOOGL,0.010982336322012093
CSCO,0.009339229486624382
TXN,0.006824031392762573
BRK-B,0.0006285269771446915
ROP,6.755550047212518e-05
AMP,1.5616512879394318e-17
MS,1.4514182129606484e-17
CTAS,1.1821805275695052e-17
GOOG,8.348356728138384e-18
NVDA,5.885798381336916e-18
HPQ,5.691486951005693e-18
PAYX,2.497666592319715e-18
QCOM,1.4947795827706234e-18
L,1.3116744362474878e-18
J,7.3583806203077025e-19
MCO,0.0
A,0.0
JPM,0.0
KKR,0.0
GRMN,0.0
APH,0.0
BAC,0.0
GS,0.0
AME,0.0
EMR,0.0
MSFT,0.0
SNPS,0.0
MA,0.0
ADP,0.0
AAPL,0.0
ACN,0.0
CDW,0.0
