Ticker,Mean_Abs_SHAP,Optimal_Weight_Decimal,Allocation_Percentage
APH,0.0016409581343486668,0.00809763494012329,0.81%
MSFT,0.001368399483490752,0.04679932918190823,4.68%
ACN,0.001345842663706923,0.00046260812910563524,0.05%
GOOG,0.0008331280084947714,0.0022074738327866176,0.22%
GOOGL,0.0006602227561074121,0.042750940176653346,4.28%
BRK-B,0.0004144691889459666,0.06996239882787052,7.0%
AMP,0.00037658076709296207,0.010169506544694694,1.02%
TROW,0.0003385511578065982,0.013106958398821322,1.31%
BLK,0.00032273395696672105,0.009962853964894674,1.0%
CTAS,0.00021918249550020427,0.009111279038437585,0.91%
AAPL,0.0001994596917092454,0.059831060818503444,5.98%
VRSK,0.0001793744213014034,0.026577035748860417,2.66%
HON,0.00017119706156475887,0.026926389404956157,2.69%
TXN,0.00015000512692849886,0.00924262897709706,0.92%
V,0.00010097865511320321,0.01600345900871003,1.6%
TEL,9.734211558534219e-05,0.02831447851320981,2.83%
HD,9.319478673940468e-05,0.05196188962415145,5.2%
ADP,9.290739202328864e-05,0.003757635159787328,0.38%
AMZN,8.472355218227937e-05,0.06040571182422362,6.04%
PAYX,8.353627141611245e-05,0.013017375958574598,1.3%
MA,7.855936157330007e-05,6.98251783326758e-17,0.0%
APD,7.563567335105265e-05,0.024019367728772733,2.4%
CSCO,7.130467218620231e-05,0.01111998593412151,1.11%
SNPS,6.436023134288147e-05,0.02507845006519948,2.51%
JNJ,5.871718030155447e-05,0.08455188934149643,8.46%
CDW,5.824009512046056e-05,0.008208014971850893,0.82%
EMR,5.5829778844041734e-05,0.001959320241514693,0.2%
AME,5.255341766017898e-05,0.002592063342387988,0.26%
GS,5.0054573771507606e-05,0.014678958558173005,1.47%
ROP,4.9628151161706484e-05,0.005952877574658492,0.6%
IBM,4.843738915441779e-05,0.01891955486281384,1.89%
NVDA,4.830427691380076e-05,0.009297970625762233,0.93%
J,4.799417485632937e-05,0.00942168554775026,0.94%
HPQ,4.463058150359478e-05,0.0029718204042232547,0.3%
TRMB,4.17986996797894e-05,0.01741500135443382,1.74%
ADBE,4.1092324613154315e-05,0.013778895621223643,1.38%
L,4.0604444274439374e-05,0.012587512818274464,1.26%
BAC,4.0317367469710125e-05,0.01298350168503342,1.3%
GLW,3.891289740594638e-05,0.0,0.0%
QCOM,3.777625019535723e-05,0.00621388928066335,0.62%
MCO,3.729493386615848e-05,0.013809439794401123,1.38%
A,3.549874143366265e-05,0.025897247906953042,2.59%
MS,3.498042735408754e-05,1.833335391626024e-16,0.0%
CTSH,3.372893819274611e-05,0.020830245928677934,2.08%
INTC,3.326526853597711e-05,0.012395732048418125,1.24%
JPM,3.244586671234664e-05,0.013158006464815799,1.32%
KKR,3.193337800183864e-05,0.010402431094795158,1.04%
GRMN,3.173914704223183e-05,0.018381982999136973,1.84%
C,3.067940215606787e-05,0.018204679805270175,1.82%
KO,2.9478384276200376e-05,0.07650082592580808,7.65%
